Survey Year,Fullstring,Category 1,Sub-category 1,Category 2,Sub-category 2,Category 3,Sub-category 3,Category 4,Sub-category 4,Category 5,Sub-category 5,Category 6,Sub-category 6,Category 7,Sub-category 7,Category 8,Sub-category 8
2015,"not just one, many that aid in physical and mental well being and overall satisfication! Assistance for the homeless.  Enforced fines to people who do NOT pick up after their dog or use a leash. Unsanitary, unsafe, and unappealing. Lived in Australia & they had DNA testing so fine can be mailed out. I'd vote for this.  To be able to vote on what our public lands (ie airport) are used for vs being run over by developers. No more massive, over priced rental complexes that look exactly the same and do not plan well for parking, etc.  More dog parks with grass! Reduced home prices...work my butt off, love this community & put money I have back into it but can't afford to buy a place at 41 yrs old.  Rent is hard.  Calculating in pedestrian traffic as well as vehicle traffic with the train, building developments, new streets (like at Olympic/Main/Ocean it bottle necks-bad design), etc.  Influx of vehicles, parking hard, more pedestrians...downtown Santa Monica is becoming a mini New York of it's headaches not the fun. Really need to get wise engineers in the future planning. New theaters at Santa Monica place will be nice yet I think having few less and adding a club or at least a fun piano bar (even dueling pianos) something to give the city more nightlife balance would be enjoyable.  Right now we just have tiny bars and restaurants with dj's.  Not much music life here.  Lots more to add but I'll refrain further. Having said all of that, I love Santa Monica and support my local community. I vote and I look forward to the future here with political members that fully support our community and rights as well!",City general,Community gardens/Green space,Local services,Homeless,City Council,Negative view of City Council,Development,Against development,Development,Against development - Congestion/Overcrowding,Transport,Congestion,Other,Positive,City general,Cleanliness/Maintenance
2015,"Make it more livable:  i.e. Reduce traffic, close the Santa Monica airport to jets, improve the schools, make more real bike paths, create more affordable housing, get rid of the developers, keep Bergemot Station art galleries.",Aiport/Air traffic,Air traffic noise,Culture,Amenities and events,Development,Against development,Housing,Affordability,Local services,Schools,Local services,Schools,Transport,Congestion,Transport,Improved infrastructure for cycling/pedestrians
2015,"Decrease traffic, noise ,homeless, congestion of people.  A better choice of moderate income shopping.  Better use of parks. Better services for seniors in our own neighborhoods, not concentrated in downtown area.  Better bus service for seniors.",City general,Community gardens/Green space,Community,Integration/Neighborliness,Cost of living,Affordability,Development,Against development - Congestion/Overcrowding,Transport,Congestion,Transport,Public transport,Transport,Congestion,,
2015,Get more community gardens. Get a monorail system. Get more solar power. Get rents lowered. Get more trees. Get more bike lanes. Get graywater systems installed. Get trees on the beach.,City general,Community gardens/Green space,Environment,Water security,Housing,Affordability,Other,Other,Transport,Improved infrastructure for cycling/pedestrians,Transport,Public transport,Transport,Improved infrastructure for cycling/pedestrians,,
2015,"Influence reducing traffic ... do not build the Miramar project ... reduce bicyclists lack of adherence to common traffic rules --- reduce pedestrians lack of attention to walking into traffic ""without looking"" --   monitor Ocean Ave for drivers who don't stop for pedestrians (it seems to be increasing)  -- address the current level of and increasing cost of apartment monthly rents -- increase the quality of air by applying the non-smoking regulations to people who own townhomes  [XXX]",Transport,Congestion,Development,Against development,Housing,Affordability,Transport,Address dangerous driving/speeding,Transport,Enforce traffic laws on bikes,Crime and safety,Tougher smoking laws,,,,
2015,"Get rid of Santa Monica airport. Have room for bike trail ON Expo line, instead of streets w/cars.  Have buses take children to school instead of cars. Less traffic. Less shopping. More nature. More local goods and services. Less franchise stores/malls/tourist shopping.  Taxes to go to education, air, beaches and healthcare. Free parking instead of meters used to pay for with tax increases. More responsive police force, monitoring crime in neighborhoods instead of traffic misdemeanors.",Aiport/Air traffic,Negative airport/Air traffic,Transport,Public transport,Transport,Parking,Transport,Improve infrastructure for cycling/pedestrians,Environment,Improve environmental sustainability,Development,More diverse and independent businesses,,,,
2015,"Things that influence my wellbeing:  1) The rent here is ridiculous. You ask about knowing my neighbors. It is impossible to make friends with people because, usually the cost of rent, people are moving in and out of our building almost every 3 months. Sometimes I feel like I am a stranger in my own neighborhood because only people with higher incomes can now live here, restaurants seem to be catering more and more to higher incomes, etc.   2) The amount of homeless people, usually angry ones, is getting out of control.  3) Now that Santa Monica has become pedestrian and bike friendly anarchy has ensued. People are constantly jaywalking and a lot of people on bikes think it's funny to zig zag in lanes. Thanks. How about ticketing them like you do cars???!!! 4) [XXX] 5) Why does the City spend my tax dollars on bus stops that are a joke. There better not be more than one person standing there when it's raining. What the hell was someone thinking? Are we too good to have bus stops that are better like ones in other cities. Oh, and those fancy shorter light posts like the ones along Pico. Um, they don't really provide light and I want a refund. 4th street south of Pico is pitch black, how about some lights there!!!!!!  6) Why are community meetings that would be helpful to me such as the Emergency preparedness, rent control, etc. are on times that are unrealistic such as Monday morning at 10am or in the middle of the afternoon! Um, some of us work. Maybe there could be 3 meetings for the same things at times that would be in consideration for all members of Santa Monica!  7) [XXX] First, ever since the police were removed from the second street parking structure the response time is unacceptable. As you are probably aware, merchants have theft and we have homeless people who are *very* aggressive. Why am I paying for new patches that say PSO instead of CSO? Why do the ambassadors t-shirts keep changing? Again, I want a refund.  8) The parking here can be summed up in one word: greedy. My friends and customers don't want to come down here because of the cost of parking!!!!! As one of your parking managers told me ""that is their prerogative"". Well, frankly speaking, that sucks!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!    In conclusion, the report that stated Santa Monica has stressed out people is no surprise.",Local services,Homeless,Transport,Enforce traffic laws on bikes,Transport,Public transport,Community,Other,Housing,Affordability,Transport,Parking,,,,
2015,"NO jets, STOP overbuilding/populating, stop enabling the homeless, enforce dogs ON leash laws, especially in neighborhood parks, better monitor cars traveling at INTENSE rates of speed, better upkeep of rent-controlled apts.,",Aiport/Air traffic,Air traffic noise,Development,Against development - Congestion/Overcrowding,Housing,Protection of rent control tenants' interests,Local services,Homeless,Other,Other,Transport,Address dangerous driving/speeding,,,,
2015,Stricter laws and regulations on material for product packaging making it 100% eco-friendly and biodegradable.   Increasing the number of dedicated bike lanes.   Become a 100% Led light city (private and public). (Reduce light pollution)  Cutting out carbon footprint by making all city vehicles electric.   Increase green spaces in the city.   Stricter regulations on property maintenance.   Increase rubberized asphalt. (Noise Pollution)  Require Eco-Friendly Gardening (Native Plants)  Curb homelessness in pubic areas.   Increase EV charging stations.,Local services,Homeless,Housing,Protection of rent control tenants' interests,Transport,Improved infrastructure for cycling/pedestrians,Environment,Improve environmental sustainability,City general,Noise,,,,,,
2015,"More affordable housing, more free parking, more food and beverage choices, better roads, less taxes, there is no community spirit, only a group of people who neverendingly compete with each other for more money and even trimmer bodies or better looks, more cultural offerings (but how can you have more culture in a place that is fully devoid of it in the first place)",Housing,Affordability,Transport,Parking,Cost of living,Lower taxes,Community,Integration/Neighborliness,Culture,Amenities and events,,,,,,
